measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,prevalence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2016,0.0031124205924809,0.0038475153112042,0.0023951343018182
5,prevalence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2016,300.4875334,371.70527258613004,231.10283517402002
5,prevalence,1,global,3,all,22,all,545,Epilepsy,1,Number,2017,22700905.38158852,28089358.13541677,17663163.140902422
5,prevalence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2017,0.0031043349365355,0.0038370269717275,0.0024183921121506
5,prevalence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2017,299.65997470544,370.78945561254,233.15999653095997
5,prevalence,1,global,3,all,22,all,545,Epilepsy,1,Number,2018,22907923.96846585,28429441.29890366,17878846.586926308
5,prevalence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2018,0.0030973715473267,0.0038468620043838,0.0024158412120602
5,prevalence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2018,298.97993967529,371.04334099629,233.3435575
5,prevalence,1,global,3,all,22,all,545,Epilepsy,1,Number,2019,23150547.15534604,28826748.9194289,17871002.589498945
5,prevalence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2019,0.0030962329566244,0.0038624963642814,0.0023885429592772
5,prevalence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2019,298.89690599964,372.18239397231997,230.73266239754003
5,prevalence,1,global,3,all,22,all,545,Epilepsy,1,Number,2020,23614563.79241335,29462617.796505436,17918211.052231316
5,prevalence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2020,0.0031249434682421,0.0039052426921356,0.0023684696621382
5,prevalence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2020,301.88527069962004,376.64597268042,229.06389639488
5,prevalence,1,global,3,all,22,all,545,Epilepsy,1,Number,2021,24220856.231397998,30677995.495970763,18476943.492427777
5,prevalence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2021,0.0031762554874707,0.0040221338980188,0.0024204944108641
5,prevalence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2021,306.92905650453,388.75455611774004,234.14163310489
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,1,Number,2015,278454556.9343028,325103793.1300839,239277007.58965564
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,2,Percent,2015,0.0389839793924144,0.0454768751790515,0.0334850182962681
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,3,Rate,2015,3764.72526435912,4395.4262304444,3235.0420318873003
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,1,Number,2016,282252108.89754266,329268558.27120817,242800506.21840656
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,2,Percent,2016,0.039049598465036,0.0455505932566611,0.0335773393206735
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,3,Rate,2016,3770.09130566667,4398.09832995188,3243.12927574179
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,1,Number,2017,286491518.55113745,334320659.55882233,246701592.1501395
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,2,Percent,2017,0.03917690454582,0.0457619221687016,0.0337212925559238
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,3,Rate,2017,3781.78930572461,4413.15087230645,3256.54821342328
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,1,Number,2018,290897040.86330193,339706973.40532684,250766855.8800947
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,2,Percent,2018,0.0393314513085046,0.0459565460107624,0.033892355275633
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,3,Rate,2018,3796.60679198846,4433.6435966792005,3272.85264028296
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,1,Number,2019,295114825.4926643,344488877.68302244,254462839.0774972
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,2,Percent,2019,0.0394690485171156,0.0461195875226908,0.0340420920478455
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,3,Rate,2019,3810.22995536471,4447.6987519912,3285.3718221768304
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,1,Number,2020,341929766.17128223,398733613.71819305,292995814.68482274
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,2,Percent,2020,0.0452470841084284,0.0528510216378002,0.0387799440045428
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,3,Rate,2020,4371.18216234162,5097.3545805248505,3745.61739134898
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,1,Number,2021,359213270.2202836,419966576.5162368,307185425.2628135
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,2,Percent,2021,0.0471052944536694,0.0551973823193694,0.0402960670156611
5,prevalence,1,global,3,all,22,all,571,Anxiety disorder,3,Rate,2021,4551.98565481338,5321.85748769994,3892.6837204721896
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,1,Number,2015,82103488.97105436,112631734.27322832,61727804.62053086
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,2,Percent,2015,0.0114943726374968,0.0157594081723612,0.0086373590542099
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,3,Rate,2015,1110.04496613171,1522.7889974415,834.56427550282
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,1,Number,2016,82362433.29948471,113260095.45143044,61825219.72258853
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,2,Percent,2016,0.0113946256045305,0.0156607700347841,0.0085542421801857
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,3,Rate,2016,1100.12957886757,1512.83511329021,825.81038723672
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,1,Number,2017,82687959.54741077,113897484.2917157,61925155.43343396
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,2,Percent,2017,0.0113071149912419,0.0155750950859924,0.0084683794489706
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,3,Rate,2017,1091.5102922070198,1503.48704988438,817.43393925881
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,1,Number,2018,83081315.4192028,114305772.25796494,62138788.63000628
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,2,Percent,2018,0.0112329764436777,0.0154562707630261,0.0083945155665082
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,3,Rate,2018,1084.3255244940901,1491.84766551822,810.99672330279
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,1,Number,2019,83499749.58556545,114517376.81452644,62426226.41348928
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,2,Percent,2019,0.0111671213897986,0.0153186891092921,0.008341837229431
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,3,Rate,2019,1078.06595824269,1478.5348002089502,805.9855260879401
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,1,Number,2020,83835282.75430988,114608800.71225844,62814790.049572766
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,2,Percent,2020,0.0110935688591457,0.0151686796666701,0.0083150637367452
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,3,Rate,2020,1071.73849370848,1465.1428301501999,803.0154638785701
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,1,Number,2021,84800601.05781388,117240210.9097764,63395826.8954242
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,2,Percent,2021,0.0111200573079158,0.0153657334590468,0.0083113894306991
5,prevalence,1,global,3,all,22,all,578,Attention deficit hyperactivity disorder,3,Rate,2021,1074.60150149242,1485.67940683629,803.35811209323
6,incidence,1,global,3,all,22,all,545,Epilepsy,1,Number,2015,3043941.2805755804,3856743.384599844,2271838.467230934
6,incidence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2015,9.33642727102e-05,0.0001186175792285,6.83417150377e-05
6,incidence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2015,41.15430097,52.14344279,30.715416433799998
6,incidence,1,global,3,all,22,all,545,Epilepsy,1,Number,2016,3075319.7584816013,3876010.742238648,2310983.5340283653
6,incidence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2016,9.34090196941e-05,0.0001179944288335,6.97502842347e-05
6,incidence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2016,41.07758957,51.77256055608999,30.86821552
6,incidence,1,global,3,all,22,all,545,Epilepsy,1,Number,2017,3101161.098119892,3912808.442034603,2343789.654515147
6,incidence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2017,9.33625718857e-05,0.0001180240547259,6.95759481166e-05
6,incidence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2017,40.93642261,51.650454422760006,30.93885186
6,incidence,1,global,3,all,22,all,545,Epilepsy,1,Number,2018,3125207.493623456,3922281.338980908,2355775.298347609
6,incidence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2018,9.32799284787e-05,0.0001182317793925,7.00683958943e-05
6,incidence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2018,40.78825952,51.19117034,30.746110278609997
6,incidence,1,global,3,all,22,all,545,Epilepsy,1,Number,2019,3151982.3076181305,3988709.1367660486,2385519.1123576947
6,incidence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2019,9.32301320731e-05,0.0001184953529419,7.02244587491e-05
6,incidence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2019,40.69526967,51.49825669,30.799457010759998
6,incidence,1,global,3,all,22,all,545,Epilepsy,1,Number,2020,3205080.9493212737,4063340.435511753,2393313.429171948
6,incidence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2020,8.95559410579e-05,0.0001138104123854,6.65931423861e-05
6,incidence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2020,40.97330522,51.945174092660004,30.595783127129998
6,incidence,1,global,3,all,22,all,545,Epilepsy,1,Number,2021,3272733.660133112,4125118.7483812585,2403802.4268406974
